Country,Visitors
2201: Ireland,5560
OT4: Other North Africa and the Middle East,3190
8203: Brazil,2680
1502: Fiji,43600
TO3: Total Southern and Eastern Europe,129340
4205: Israel,1200
6102: Hong Kong,12190
OT7: Other Southern and Central Asia,4210
1304: Vanuatu,1300
OT2: Other North-West Europe,340
4203: Iran,440
6101: China,103840
7107: Sri Lanka,2750
2301: Austria,2500
TO5: Total South-East Asia,360100
7101: Bangladesh,2280
8204: Chile,940
1502: Fiji,3400
5202: Indonesia,20620
OT6: Other North-East Asia,1750
OT7: Other Southern and Central Asia,640
8201: Argentina,1400
TO1: Total Oceania and Antarctica,181450
3207: Greece,31270
OT4: Other North Africa and the Middle East,5840
5204: Philippines,20130
"21: UK, CIs & IOM",32840
2311: Switzerland,3100
TO9: Total Sub-Saharan Africa,4890
2311: Switzerland,4210
4208: Lebanon,3840
TO9: Total Sub-Saharan Africa,14570
2304: Germany,10370
3307: Poland,680
5105: Vietnam,17090
7101: Bangladesh,1970
7106: Pakistan,1840
9225: South Africa,2700
5202: Indonesia,169520
OT6: Other North-East Asia,1170
7103: India,31450
2301: Austria,1300
2407: Sweden,1450
6102: Hong Kong,21430
1304: Vanuatu,3660
OT2: Other North-West Europe,9440
5102: Cambodia,3630
TO6: Total North-East Asia,125910
6101: China,43240
1201: New Zealand,121320
2308: Netherlands,5290
2406: Norway,2020
4205: Israel,1150
4216: United Arab Emirates,5980
6105: Taiwan,19790
8104: United States of America,42030
TO4: Total North Africa and the Middle East,23720
8203: Brazil,2470
5205: Singapore,27300
TO7: Total Southern and Central Asia,37300
TOT: Total,1146340
3204: Croatia,7350
5203: Malaysia,30200
"6203: Korea, South",9280
TO8: Total Americas,101810
OT8: Other Americas,2710
OT1: Other Oceania and Antarctica,3520
6201: Japan,33240
OT9: Other Sub-Saharan Africa,2190
TO2: Total North-West Europe,156170
4215: Turkiye,7220
OT5: Other South-East Asia,2380
8104: United States of America,72380
2303: France,9570
OT3: Other Southern and Eastern Europe,3480
5104: Thailand,8810
7103: India,26860
7105: Nepal,3250
1301: New Caledonia,50
1302: Papua New Guinea,5560
2303: France,21250
OT3: Other Southern and Eastern Europe,13850
7105: Nepal,2140
NI: Not stated/Inadequately described,0
1301: New Caledonia,1060
3104: Italy,5070
3308: Russian Federation,670
OT5: Other South-East Asia,2030
8205: Colombia,1400
2304: Germany,15140
2407: Sweden,3380
5104: Thailand,58410
6201: Japan,53880
7106: Pakistan,4030
2403: Finland,410
3108: Spain,3730
8102: Canada,8540
OT1: Other Oceania and Antarctica,7650
"21: UK, CIs & IOM",85220
3108: Spain,13650
8102: Canada,20720
8306: Mexico,1450
TO1: Total Oceania and Antarctica,134500
5204: Philippines,14900
8306: Mexico,1240
1201: New Zealand,117770
2308: Netherlands,4770
3308: Russian Federation,1140
4203: Iran,1660
4216: United Arab Emirates,3960
5205: Singapore,35510
7107: Sri Lanka,9170
OT9: Other Sub-Saharan Africa,8200
1302: Papua New Guinea,3900
TO3: Total Southern and Eastern Europe,13620
TO4: Total North Africa and the Middle East,11910
TO5: Total South-East Asia,109740
TO6: Total North-East Asia,211140
8204: Chile,1870
3104: Italy,53960
2302: Belgium,1450
5102: Cambodia,2070
NI: Not stated/Inadequately described,0
1505: Samoa,3160
2201: Ireland,10270
3106: Portugal,4990
3307: Poland,3120
5105: Vietnam,40330
TO7: Total Southern and Central Asia,53280
8213: Peru,1130
9225: South Africa,6370
TOT: Total,658970
TO2: Total North-West Europe,75310
2401: Denmark,1610
4213: Saudi Arabia,1150
5203: Malaysia,16920
"6203: Korea, South",31090
TO8: Total Americas,60550
OT8: Other Americas,1380
6105: Taiwan,6140
